2016/05/16 08:43:30 [error] 1020#0: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 69.30.226.102, server: http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/hoay, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:8000/", host: "b1888.cc"
2016/05/16 09:57:45 [error] 1020#0: *4 open() "/home/ubuntu/VirtualEnvs/hoay/howoldareyou/static/jquery.min.js" failed (2: No such file or directory), client: 220.149.255.13, server: http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/hoay, request: "GET /static/jquery.min.js HTTP/1.1", host: "ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com", referrer: "http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/"
2016/05/16 09:57:45 [error] 1020#0: *5 open() "/home/ubuntu/VirtualEnvs/hoay/howoldareyou/static/skel.min.js" failed (2: No such file or directory), client: 220.149.255.13, server: http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/hoay, request: "GET /static/skel.min.js HTTP/1.1", host: "ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com", referrer: "http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/"
2016/05/16 09:57:45 [error] 1020#0: *7 open() "/home/ubuntu/VirtualEnvs/hoay/howoldareyou/static/css/skel.css" failed (2: No such file or directory), client: 220.149.255.13, server: http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/hoay, request: "GET /static/css/skel.css HTTP/1.1", host: "ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com", referrer: "http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/"
2016/05/16 09:57:45 [error] 1020#0: *8 open() "/home/ubuntu/VirtualEnvs/hoay/howoldareyou/static/css/style.css" failed (2: No such file or directory), client: 220.149.255.13, server: http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/hoay, request: "GET /static/css/style.css HTTP/1.1", host: "ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com", referrer: "http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/"
2016/05/16 09:57:45 [error] 1020#0: *4 open() "/home/ubuntu/VirtualEnvs/hoay/howoldareyou/static/css/style-xlarge.css" failed (2: No such file or directory), client: 220.149.255.13, server: http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/hoay, request: "GET /static/css/style-xlarge.css HTTP/1.1", host: "ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com", referrer: "http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/"
2016/05/16 09:57:45 [error] 1020#0: *9 open() "/home/ubuntu/VirtualEnvs/hoay/howoldareyou/static/skel-layers.min.js" failed (2: No such file or directory), client: 220.149.255.13, server: http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/hoay, request: "GET /static/skel-layers.min.js HTTP/1.1", host: "ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com", referrer: "http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/"
2016/05/16 09:57:45 [error] 1020#0: *10 open() "/home/ubuntu/VirtualEnvs/hoay/howoldareyou/static/init.js" failed (2: No such file or directory), client: 220.149.255.13, server: http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/hoay, request: "GET /static/init.js HTTP/1.1", host: "ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com", referrer: "http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/"
2016/05/16 09:57:45 [error] 1020#0: *10 open() "/home/ubuntu/VirtualEnvs/hoay/howoldareyou/static/profile_placeholder.gif" failed (2: No such file or directory), client: 220.149.255.13, server: http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/hoay, request: "GET /static/profile_placeholder.gif HTTP/1.1", host: "ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com", referrer: "http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/"
2016/05/16 09:58:02 [error] 1020#0: *9 open() "/home/ubuntu/VirtualEnvs/hoay/howoldareyou/static/css/style.css" failed (2: No such file or directory), client: 220.149.255.13, server: http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/hoay, request: "GET /static/css/style.css HTTP/1.1", host: "ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com", referrer: "http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/"
2016/05/16 09:58:02 [error] 1020#0: *10 open() "/home/ubuntu/VirtualEnvs/hoay/howoldareyou/static/css/skel.css" failed (2: No such file or directory), client: 220.149.255.13, server: http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/hoay, request: "GET /static/css/skel.css HTTP/1.1", host: "ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com", referrer: "http://ec2-52-79-93-55.ap-northeast-2.compute.amazonaws.com/"
